Study,Site,Soil C (mg/cm3)*,Soil N (mg/cm3)*,Microbial biomass C (mg/cm3),Microbial biomass N (mg/cm3),SOC,SON,MBC,MBN,MBC as % of soil C,MBN as % of soil N,Soil C:N,Inorganic nitrogen (ug/cm3),Respiration (ug C/cm3*hr),Net N mineralization (ug/cm3*hr)
Xu et al.,0,79.2,6.63,2.1315,0.3675,5.28,0.442,0.1421,0.0245,2.691287879,5.542986425,11.94570136,NA,NA,NA
Xu et al.,0,82.35,7.2,1.6305,0.345,5.49,0.48,0.1087,0.023,1.97996357,4.791666667,11.4375,NA,NA,NA
Xu et al.,0,160.5,16.5,1.9905,0.282,10.7,1.1,0.1327,0.0188,1.240186916,1.709090909,9.727272727,NA,NA,NA
Xu et al.,0,160.5,16.5,1.2585,0.21,10.7,1.1,0.0839,0.014,0.78411215,1.272727273,9.727272727,NA,NA,NA
Xu et al.,0,160.5,16.5,1.0815,0.237,10.7,1.1,0.0721,0.0158,0.673831776,1.436363636,9.727272727,NA,NA,NA
Xu et al.,0,160.5,16.5,0.996,0.2445,10.7,1.1,0.0664,0.0163,0.620560748,1.481818182,9.727272727,NA,NA,NA
Xu et al.,0,160.5,16.5,1.011,0.225,10.7,1.1,0.0674,0.015,0.629906542,1.363636364,9.727272727,NA,NA,NA
Xu et al.,0,160.5,16.5,1.095,0.2955,10.7,1.1,0.073,0.0197,0.682242991,1.790909091,9.727272727,NA,NA,NA
Xu et al.,0,160.5,16.5,1.7715,0.225,10.7,1.1,0.1181,0.015,1.103738318,1.363636364,9.727272727,NA,NA,NA
Xu et al.,0,160.5,16.5,2.2155,0.2565,10.7,1.1,0.1477,0.0171,1.380373832,1.554545455,9.727272727,NA,NA,NA
Xu et al.,Pasture,52.2,0,1.01475,0,3.48,0,0.06765,0,1.943965517,NA,NA,NA,NA,NA
Xu et al.,Pasture,72.825,0,2.02575,0,4.855,0,0.13505,0,2.781668383,NA,NA,NA,NA,NA
Xu et al.,Pasture,47.925,0,1.25025,0,3.195,0,0.08335,0,2.608763693,NA,NA,NA,NA,NA
Xu et al.,Pasture and forest,115.5,0,1.62,0,7.7,0,0.108,0,1.402597403,NA,NA,NA,NA,NA
Xu et al.,Pasture,82.05,0,3.3165,0,5.47,0,0.2211,0,4.042047532,NA,NA,NA,NA,NA
Xu et al.,Pasture,74.7,0,1.548,0,4.98,0,0.1032,0,2.072289157,NA,NA,NA,NA,NA
Xu et al.,Pasture,186.075,0,2.47275,0,12.405,0,0.16485,0,1.328899637,NA,NA,NA,NA,NA
Xu et al.,"Coarse grasses (cynosurus sp., Agrostis sp. Anthoxanthum sp., Holcus sp.)",78,4.5,0.95625,0.2385,5.2,0.3,0.06375,0.0159,1.225961538,5.3,17.33333333,NA,NA,NA
Xu et al.,"Lolium perenne, Trifolium repens",102,7.5,1.37325,0.4515,6.8,0.5,0.09155,0.0301,1.346323529,6.02,13.6,NA,NA,NA
Xu et al.,"Coarse grasses (cynosurus sp., Agrostis sp. Anthoxanthum sp., Holcus sp.)",54,3.3,0.60375,0.168,3.6,0.22,0.04025,0.0112,1.118055556,5.090909091,16.36363636,NA,NA,NA
Xu et al.,"Lolium perenne, Trifolium repens",58.5,4.5,6.9075,0.2145,3.9,0.3,0.4605,0.0143,11.80769231,4.766666667,13,NA,NA,NA
Xu et al.,"Coarse grasses (cynosurus sp., Agrostis sp. Anthoxanthum sp., Holcus sp.)",31.5,2.1,0.44025,0.10965,2.1,0.14,0.02935,0.00731,1.397619048,5.221428571,15,NA,NA,NA
Xu et al.,"Lolium perenne, Trifolium repens",31.5,2.7,0.36675,0.09075,2.1,0.18,0.02445,0.00605,1.164285714,3.361111111,11.66666667,NA,NA,NA
Xu et al.,"Coarse grasses (cynosurus sp., Agrostis sp. Anthoxanthum sp., Holcus sp.)",22.5,1.65,0.2565,0.0687,1.5,0.11,0.0171,0.00458,1.14,4.163636364,13.63636364,NA,NA,NA
Xu et al.,"Lolium perenne, Trifolium repens",22.5,1.95,0.3495,0.06645,1.5,0.13,0.0233,0.00443,1.553333333,3.407692308,11.53846154,NA,NA,NA
Xu et al.,0,160.5,14.4,3.132,0,10.7,0.96,0.2088,0,1.951401869,0,11.14583333,NA,NA,NA
Xu et al.,0,153,13.95,4.698,0,10.2,0.93,0.3132,0,3.070588235,0,10.96774194,NA,NA,NA
Xu et al.,0,144,13.65,2.9565,0,9.6,0.91,0.1971,0,2.053125,0,10.54945055,NA,NA,NA
Xu et al.,0,147,12.45,4.389,0,9.8,0.83,0.2926,0,2.985714286,0,11.80722892,NA,NA,NA
Xu et al.,0,172.5,13.8,2.763,0,11.5,0.92,0.1842,0,1.60173913,0,12.5,NA,NA,NA
Xu et al.,0,175.5,13.35,3.5355,0,11.7,0.89,0.2357,0,2.014529915,0,13.14606742,NA,NA,NA
Xu et al.,0,123,10.95,2.418,0,8.2,0.73,0.1612,0,1.965853659,0,11.23287671,NA,NA,NA
Xu et al.,0,75,6.3,2.742,0,5,0.42,0.1828,0,3.656,0,11.9047619,NA,NA,NA
Xu et al.,0,43.5,3.75,0.894,0,2.9,0.25,0.0596,0,2.055172414,0,11.6,NA,NA,NA
Xu et al.,0,64.5,5.85,1.251,0,4.3,0.39,0.0834,0,1.939534884,0,11.02564103,NA,NA,NA
Xu et al.,0,34.5,3.15,0.243,0,2.3,0.21,0.0162,0,0.704347826,0,10.95238095,NA,NA,NA
Xu et al.,0,205.5,13.35,1.707,0,13.7,0.89,0.1138,0,0.830656934,0,15.39325843,NA,NA,NA
Xu et al.,0,181.5,12.45,1.2405,0,12.1,0.83,0.0827,0,0.683471074,0,14.57831325,NA,NA,NA
Xu et al.,0,93,8.25,2.3715,0,6.2,0.55,0.1581,0,2.55,0,11.27272727,NA,NA,NA
Xu et al.,0,57,5.1,1.041,0,3.8,0.34,0.0694,0,1.826315789,0,11.17647059,NA,NA,NA
Xu et al.,0,72,4.8,1.2945,0,4.8,0.32,0.0863,0,1.797916667,0,15,NA,NA,NA
Xu et al.,0,114,9.15,2.0115,0,7.6,0.61,0.1341,0,1.764473684,0,12.45901639,NA,NA,NA
Xu et al.,0,166.5,8.85,2.577,0,11.1,0.59,0.1718,0,1.547747748,0,18.81355932,NA,NA,NA
Xu et al.,0,105,7.8,2.718,0,7,0.52,0.1812,0,2.588571429,0,13.46153846,NA,NA,NA
Xu et al.,0,34.5,3.15,1.3485,0,2.3,0.21,0.0899,0,3.908695652,0,10.95238095,NA,NA,NA
Xu et al.,0,75,5.7,1.7085,0,5,0.38,0.1139,0,2.278,0,13.15789474,NA,NA,NA
Xu et al.,0,37.5,3.3,1.5555,0,2.5,0.22,0.1037,0,4.148,0,11.36363636,NA,NA,NA
Xu et al.,0,90,6.6,1.374,0,6,0.44,0.0916,0,1.526666667,0,13.63636364,NA,NA,NA
Xu et al.,0,207,16.35,2.9415,0,13.8,1.09,0.1961,0,1.421014493,0,12.66055046,NA,NA,NA
Xu et al.,0,48,2.85,1.1925,0,3.2,0.19,0.0795,0,2.484375,0,16.84210526,NA,NA,NA
Xu et al.,0,49.5,2.7,1.5045,0,3.3,0.18,0.1003,0,3.039393939,0,18.33333333,NA,NA,NA
Xu et al.,0,85.5,5.1,1.725,0,5.7,0.34,0.115,0,2.01754386,0,16.76470588,NA,NA,NA
Xu et al.,0,60,5.25,2.3625,0,4,0.35,0.1575,0,3.9375,0,11.42857143,NA,NA,NA
Xu et al.,0,102,7.5,0.48,0,6.8,0.5,0.032,0,0.470588235,0,13.6,NA,NA,NA
Xu et al.,0,51,3.3,0.4155,0,3.4,0.22,0.0277,0,0.814705882,0,15.45454545,NA,NA,NA
Xu et al.,0,88.5,6.3,0.6885,0,5.9,0.42,0.0459,0,0.777966102,0,14.04761905,NA,NA,NA
Xu et al.,0,78,5.7,1.2015,0,5.2,0.38,0.0801,0,1.540384615,0,13.68421053,NA,NA,NA
Xu et al.,0,55.5,4.65,0.885,0,3.7,0.31,0.059,0,1.594594595,0,11.93548387,NA,NA,NA
Xu et al.,0,70.5,6.15,1.41,0,4.7,0.41,0.094,0,2,0,11.46341463,NA,NA,NA
Xu et al.,0,84,4.95,1.3065,0,5.6,0.33,0.0871,0,1.555357143,0,16.96969697,NA,NA,NA
Xu et al.,0,24.75,0,0.03,0,1.65,0,0.002,0,0.121212121,NA,NA,NA,NA,NA
Xu et al.,0,25.8,0,0.414,0,1.72,0,0.0276,0,1.604651163,NA,NA,NA,NA,NA
Xu et al.,0,39.6,0,0.7695,0,2.64,0,0.0513,0,1.943181818,NA,NA,NA,NA,NA
Xu et al.,0,40.95,0,0.576,0,2.73,0,0.0384,0,1.406593407,NA,NA,NA,NA,NA
Xu et al.,0,46.2,0,0.396,0,3.08,0,0.0264,0,0.857142857,NA,NA,NA,NA,NA
Xu et al.,0,50.85,0,1.023,0,3.39,0,0.0682,0,2.01179941,NA,NA,NA,NA,NA
Xu et al.,0,54.75,0,0.8565,0,3.65,0,0.0571,0,1.564383562,NA,NA,NA,NA,NA
Xu et al.,0,54.9,0,0.933,0,3.66,0,0.0622,0,1.699453552,NA,NA,NA,NA,NA
Xu et al.,0,67.35,0,1.5165,0,4.49,0,0.1011,0,2.251670379,NA,NA,NA,NA,NA
Xu et al.,0,68.7,0,1.5495,0,4.58,0,0.1033,0,2.255458515,NA,NA,NA,NA,NA
Xu et al.,0,79.95,0,0.5865,0,5.33,0,0.0391,0,0.73358349,NA,NA,NA,NA,NA
Xu et al.,0,78.9,0,1.596,0,5.26,0,0.1064,0,2.022813688,NA,NA,NA,NA,NA
Xu et al.,0,84.75,0,1.797,0,5.65,0,0.1198,0,2.120353982,NA,NA,NA,NA,NA
Xu et al.,0,90.6,0,1.2795,0,6.04,0,0.0853,0,1.412251656,NA,NA,NA,NA,NA
Xu et al.,0,95.1,0,1.494,0,6.34,0,0.0996,0,1.570977918,NA,NA,NA,NA,NA
Xu et al.,0,110.7,0,0.6225,0,7.38,0,0.0415,0,0.562330623,NA,NA,NA,NA,NA
Xu et al.,0,67.05,0,0.7935,0,4.47,0,0.0529,0,1.18344519,NA,NA,NA,NA,NA
Xu et al.,0,65.7,0,1.1235,0,4.38,0,0.0749,0,1.710045662,NA,NA,NA,NA,NA
Xu et al.,0,131.4,0,1.5465,0,8.76,0,0.1031,0,1.176940639,NA,NA,NA,NA,NA
Xu et al.,0,442.5,0,1.896,0,29.5,0,0.1264,0,0.428474576,NA,NA,NA,NA,NA
Xu et al.,Rough pasture,18,5.7,0.714,0,1.2,0.38,0.0476,0,3.966666667,0,3.157894737,NA,NA,NA
Xu et al.,improved pasture,49.5,3.9,0.588,0,3.3,0.26,0.0392,0,1.187878788,0,12.69230769,NA,NA,NA
Xu et al.,improved pasture,55.5,6.75,1.2015,0,3.7,0.45,0.0801,0,2.164864865,0,8.222222222,NA,NA,NA
Xu et al.,improved pasture,55.5,5.85,1.482,0,3.7,0.39,0.0988,0,2.67027027,0,9.487179487,NA,NA,NA
Xu et al.,rough pasture,69,5.4,1.299,0,4.6,0.36,0.0866,0,1.882608696,0,12.77777778,NA,NA,NA
Xu et al.,rough pasture,78,4.5,1.5435,0,5.2,0.3,0.1029,0,1.978846154,0,17.33333333,NA,NA,NA
Xu et al.,Improved pasture,90,10.2,1.4925,0,6,0.68,0.0995,0,1.658333333,0,8.823529412,NA,NA,NA
Xu et al.,Improved pasture,94.5,6,2.226,0,6.3,0.4,0.1484,0,2.355555556,0,15.75,NA,NA,NA
Xu et al.,Improved pasture,105,7.95,1.659,0,7,0.53,0.1106,0,1.58,0,13.20754717,NA,NA,NA
Xu et al.,Improved pasture,108,0,1.0785,0,7.2,0,0.0719,0,0.998611111,NA,NA,NA,NA,NA
Xu et al.,Improved pasture,124.5,9.75,0.933,0,8.3,0.65,0.0622,0,0.74939759,0,12.76923077,NA,NA,NA
Xu et al.,Improved pasture,132,10.65,1.509,0,8.8,0.71,0.1006,0,1.143181818,0,12.3943662,NA,NA,NA
Xu et al.,Improved pasture,136.5,7.95,1.3845,0,9.1,0.53,0.0923,0,1.014285714,0,17.16981132,NA,NA,NA
Xu et al.,pasture,91.5,5.85,1.461,0,6.1,0.39,0.0974,0,1.596721311,0,15.64102564,NA,NA,NA
Xu et al.,pasture,43.5,2.55,0.5625,0,2.9,0.17,0.0375,0,1.293103448,0,17.05882353,NA,NA,NA
Xu et al.,pasture at 50 stems ha-1,99,6,1.4985,0,6.6,0.4,0.0999,0,1.513636364,0,16.5,NA,NA,NA
Xu et al.,pasture at 50 stems ha-1,43.5,2.4,0.492,0,2.9,0.16,0.0328,0,1.131034483,0,18.125,NA,NA,NA
Xu et al.,pasture at 100 stems ha-1,73.5,3.15,1.1475,0,4.9,0.21,0.0765,0,1.56122449,0,23.33333333,NA,NA,NA
Xu et al.,pasture at 100 stems ha-1,37.5,1.2,0.3615,0,2.5,0.08,0.0241,0,0.964,0,31.25,NA,NA,NA
Xu et al.,pasture at 200 stems ha-1,79.5,3.9,0.8835,0,5.3,0.26,0.0589,0,1.111320755,0,20.38461538,NA,NA,NA
Xu et al.,pasture at 200 stems ha-1,39,2.25,0.4215,0,2.6,0.15,0.0281,0,1.080769231,0,17.33333333,NA,NA,NA
Xu et al.,pasture at 400 stems ha-1,73.5,3.9,0.9075,0,4.9,0.26,0.0605,0,1.234693878,0,18.84615385,NA,NA,NA
Xu et al.,pasture at 400 stems ha-1,36,1.95,0.414,0,2.4,0.13,0.0276,0,1.15,0,18.46153846,NA,NA,NA
Xu et al.,improved pasture,367.5,24.6,3.105,0,24.5,1.64,0.207,0,0.844897959,0,14.93902439,NA,NA,NA
Xu et al.,improved pasture,309,20.1,1.9395,0,20.6,1.34,0.1293,0,0.627669903,0,15.37313433,NA,NA,NA
Xu et al.,Greytown,19.5,1.5,0.0975,0.0495,1.3,0.1,0.0065,0.0033,0.5,3.3,13,NA,NA,NA
Xu et al.,Pomare,69,5.4,0.287505,0.084,4.6,0.36,0.019167,0.0056,0.416673913,1.555555556,12.77777778,NA,NA,NA
Xu et al.,Horotiu,90,10.2,0.37245,0.10155,6,0.68,0.02483,0.00677,0.413833333,0.995588235,8.823529412,NA,NA,NA
Xu et al.,Castlepoint,103.5,8.1,0.4833,0.11355,6.9,0.54,0.03222,0.00757,0.466956522,1.401851852,12.77777778,NA,NA,NA
Xu et al.,Naike,105,8.25,0.4125,0.087,7,0.55,0.0275,0.0058,0.392857143,1.054545455,12.72727273,NA,NA,NA
Xu et al.,Te Whanga,108,0,0.34455,0.039,7.2,0,0.02297,0.0026,0.319027778,NA,NA,NA,NA,NA
Xu et al.,Eketahuna,124.5,10.65,0.31605,0.0615,8.3,0.71,0.02107,0.0041,0.253855422,0.577464789,11.69014085,NA,NA,NA
Xu et al.,Nireaha,136.5,7.95,0.48345,0.048,9.1,0.53,0.03223,0.0032,0.354175824,0.603773585,17.16981132,NA,NA,NA
Xu et al.,0,69,5.4,1.968,0.087,4.6,0.36,0.1312,0.0058,2.852173913,1.611111111,12.77777778,NA,NA,NA
Xu et al.,0,55.5,5.85,1.8225,0.075,3.7,0.39,0.1215,0.005,3.283783784,1.282051282,9.487179487,NA,NA,NA
Xu et al.,Andropogen gayanus,19.6506,1.3293,0.5904,0.0609,1.31004,0.08862,0.03936,0.00406,3.004488413,4.58135861,14.78266757,NA,NA,NA
Xu et al.,Brachiaria decumbens,35.8506,2.4906,0.5382,0.0714,2.39004,0.16604,0.03588,0.00476,1.501230105,2.866779089,14.3943628,NA,NA,NA
Xu et al.,Chloris gayana,19.4994,1.2831,0.4482,0.0924,1.29996,0.08554,0.02988,0.00616,2.298532263,7.201309329,15.19710077,NA,NA,NA
Xu et al.,Digitaria smutsii,19.8,1.638,0.7776,0.1071,1.32,0.1092,0.05184,0.00714,3.927272727,6.538461538,12.08791209,NA,NA,NA
Xu et al.,Stylosanthes guianensis,21.9006,1.7871,0.5904,0.1785,1.46004,0.11914,0.03936,0.0119,2.695816553,9.988249119,12.25482625,NA,NA,NA
Xu et al.,Perennial grasses (Bromopsis inermis),55.5,4.65,1.35,0.14259,3.7,0.31,0.09,0.009506,2.432432432,3.066451613,11.93548387,NA,NA,NA
Xu et al.,0,0,0,1.986,0.3015,0,0,0.1324,0.0201,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,1.95,0.2265,0,0,0.13,0.0151,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,2.0475,0.321,0,0,0.1365,0.0214,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,2.3175,0.327,0,0,0.1545,0.0218,NA,NA,NA,NA,NA,NA
Xu et al.,0,79.5,0,3.156,0,5.3,0,0.2104,0,3.969811321,NA,NA,NA,NA,NA
Xu et al.,0,79.5,0,3.4245,0,5.3,0,0.2283,0,4.30754717,NA,NA,NA,NA,NA
Xu et al.,0,49.5,0,2.739,0,3.3,0,0.1826,0,5.533333333,NA,NA,NA,NA,NA
Xu et al.,0,94.5,0,2.256,0,6.3,0,0.1504,0,2.387301587,NA,NA,NA,NA,NA
Xu et al.,0,64.5,0,3.105,0,4.3,0,0.207,0,4.813953488,NA,NA,NA,NA,NA
Xu et al.,0,55.5,0,2.8155,0,3.7,0,0.1877,0,5.072972973,NA,NA,NA,NA,NA
Xu et al.,Ryegrass,65.7,6.75,1.878,0.3465,4.38,0.45,0.1252,0.0231,2.858447489,5.133333333,9.733333333,NA,NA,NA
Xu et al.,savanna,39.15,2.52,0.2175,0.0396,2.61,0.168,0.0145,0.00264,0.555555556,1.571428571,15.53571429,NA,NA,NA
Xu et al.,0,14.25,1.95,0.699,0.066,0.95,0.13,0.0466,0.0044,4.905263158,3.384615385,7.307692308,NA,NA,NA
Xu et al.,0,12.6,1.8,0.684,0.0645,0.84,0.12,0.0456,0.0043,5.428571429,3.583333333,7,NA,NA,NA
Xu et al.,0,15,1.65,0.5925,0.0525,1,0.11,0.0395,0.0035,3.95,3.181818182,9.090909091,NA,NA,NA
Xu et al.,0,17.4,1.545,0.6405,0.0615,1.16,0.103,0.0427,0.0041,3.681034483,3.980582524,11.26213592,NA,NA,NA
Xu et al.,0,18,1.635,0.5415,0.054,1.2,0.109,0.0361,0.0036,3.008333333,3.302752294,11.00917431,NA,NA,NA
Xu et al.,telburva savanna,24,1.65,0.411,0.05505,1.6,0.11,0.0274,0.00367,1.7125,3.336363636,14.54545455,NA,NA,NA
Xu et al.,telburva savanna,24,1.65,0.39,0.07575,1.6,0.11,0.026,0.00505,1.625,4.590909091,14.54545455,NA,NA,NA
Xu et al.,0,17.4,1.545,0.3735,0,1.16,0.103,0.0249,0,2.146551724,0,11.26213592,NA,NA,NA
Xu et al.,0,18,1.635,0.321,0,1.2,0.109,0.0214,0,1.783333333,0,11.00917431,NA,NA,NA
Xu et al.,0,18.3,16.05,0.414,0,1.22,1.07,0.0276,0,2.262295082,0,1.140186916,NA,NA,NA
Xu et al.,0,18.6,1.68,0.339,0,1.24,0.112,0.0226,0,1.822580645,0,11.07142857,NA,NA,NA
Xu et al.,0,18.075,1.617,0.5955,0.057,1.205,0.1078,0.0397,0.0038,3.294605809,3.525046382,11.17810761,NA,NA,NA
Xu et al.,Native savanna,21.75,1.8,0.33585,0.05715,1.45,0.12,0.02239,0.00381,1.544137931,3.175,12.08333333,NA,NA,NA
Xu et al.,Native savanna,19.65,1.65,0.3228,0.03765,1.31,0.11,0.02152,0.00251,1.642748092,2.281818182,11.90909091,NA,NA,NA
Xu et al.,native bush,33.3,1.32,0.3135,0.0435,2.22,0.088,0.0209,0.0029,0.941441441,3.295454545,25.22727273,NA,NA,NA
Xu et al.,native bush,29.7,1.77,0.2055,0.0255,1.98,0.118,0.0137,0.0017,0.691919192,1.440677966,16.77966102,NA,NA,NA
Xu et al.,slatbush,14.4,1.065,0.384,0.057,0.96,0.071,0.0256,0.0038,2.666666667,5.352112676,13.52112676,NA,NA,NA
Xu et al.,Bamboo land,32.43,0,0.24357,0.079935,2.162,0,0.016238,0.005329,0.75106383,NA,NA,NA,NA,NA
Xu et al.,Caragana Korshinskii,3.45,0.42,0.084,0.0255,0.23,0.028,0.0056,0.0017,2.434782609,6.071428571,8.214285714,NA,NA,NA
Xu et al.,Hippophaer Hamnoides,3.15,0.405,0.084,0.0075,0.21,0.027,0.0056,0.0005,2.666666667,1.851851852,7.777777778,NA,NA,NA
Xu et al.,heather,189.9,4.5,0.726,0,12.66,0.3,0.0484,0,0.382306477,0,42.2,NA,NA,NA
Xu et al.,Querqus calliprios-Pistacia lenticus,47.34,0,1.3986,0.3717,3.156,0,0.09324,0.02478,2.954372624,NA,NA,NA,NA,NA
Xu et al.,Querqus calliprios-Pistacia lenticus,36.9,0,1.1646,0.2226,2.46,0,0.07764,0.01484,3.156097561,NA,NA,NA,NA,NA
Xu et al.,Requmuria negevensis,0,0,0,0.0399,0,0,0,0.00266,NA,NA,NA,NA,NA,NA
Xu et al.,Requmuria negevensis,0,0,0,0.0819,0,0,0,0.00546,NA,NA,NA,NA,NA,NA
Xu et al.,Requmuria negevensis,0,0,0,0.0567,0,0,0,0.00378,NA,NA,NA,NA,NA,NA
Xu et al.,Zygophyllum dumosum,0,0,0,0.0357,0,0,0,0.00238,NA,NA,NA,NA,NA,NA
Xu et al.,Zygophyllum dumosum,0,0,0,0.0651,0,0,0,0.00434,NA,NA,NA,NA,NA,NA
Xu et al.,Zygophyllum dumosum,0,0,0,0.1281,0,0,0,0.00854,NA,NA,NA,NA,NA,NA
Xu et al.,sclerophyllous evergreen shrub,11.1,0.75,0.15,0,0.74,0.05,0.01,0,1.351351351,0,14.8,NA,NA,NA
Xu et al.,sclerophyllous evergreen shrub,34.2,2.4,0.75,0,2.28,0.16,0.05,0,2.192982456,0,14.25,NA,NA,NA
Xu et al.,sclerophyllous evergreen shrub,54.45,4.2,1.05,0,3.63,0.28,0.07,0,1.928374656,0,12.96428571,NA,NA,NA
Xu et al.,sclerophyllous evergreen shrub,104.25,7.65,2.55,0,6.95,0.51,0.17,0,2.446043165,0,13.62745098,NA,NA,NA
Xu et al.,shrubby legume,0,0,0.468,0,0,0,0.0312,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.516,0,0,0,0.0344,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.5115,0,0,0,0.0341,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.45,0,0,0,0.03,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.654,0,0,0,0.0436,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.411,0,0,0,0.0274,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.483,0,0,0,0.0322,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.348,0,0,0,0.0232,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.4875,0,0,0,0.0325,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.3045,0,0,0,0.0203,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby legume,0,0,0.3555,0,0,0,0.0237,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.333,0,0,0,0.0222,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.513,0,0,0,0.0342,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.348,0,0,0,0.0232,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.4365,0,0,0,0.0291,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.4095,0,0,0,0.0273,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.3855,0,0,0,0.0257,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.2805,0,0,0,0.0187,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.375,0,0,0,0.025,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.186,0,0,0,0.0124,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby legume,0,0,0.3465,0,0,0,0.0231,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.351,0,0,0,0.0234,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.4335,0,0,0,0.0289,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.2895,0,0,0,0.0193,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.51,0,0,0,0.034,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.4095,0,0,0,0.0273,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.252,0,0,0,0.0168,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.1575,0,0,0,0.0105,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.2775,0,0,0,0.0185,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.117,0,0,0,0.0078,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby legume,0,0,0.348,0,0,0,0.0232,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.3465,0,0,0,0.0231,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.426,0,0,0,0.0284,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.303,0,0,0,0.0202,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.435,0,0,0,0.029,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.3915,0,0,0,0.0261,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.1845,0,0,0,0.0123,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.1695,0,0,0,0.0113,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.285,0,0,0,0.019,0,NA,NA,NA,NA,NA,NA
Xu et al.,shrubby non-legume,0,0,0.1425,0,0,0,0.0095,0,NA,NA,NA,NA,NA,NA
Xu et al.,Dracophyllum,670.5,0,10.422,0,44.7,0,0.6948,0,1.554362416,NA,NA,NA,NA,NA
Xu et al.,Gorse scrub (Ulex europaeus),586.5,26.25,5.78025,0.4815,39.1,1.75,0.38535,0.0321,0.985549872,1.834285714,22.34285714,NA,NA,NA
Xu et al.,Gorse scrub (Ulex europaeus),108,6.9,0.9465,0.14865,7.2,0.46,0.0631,0.00991,0.876388889,2.154347826,15.65217391,NA,NA,NA
Xu et al.,Gorse scrub (Ulex europaeus),78,4.5,0.44025,0.08175,5.2,0.3,0.02935,0.00545,0.564423077,1.816666667,17.33333333,NA,NA,NA
Xu et al.,Gorse scrub (Ulex europaeus),49.5,3.3,0.3945,0.06735,3.3,0.22,0.0263,0.00449,0.796969697,2.040909091,15,NA,NA,NA
Xu et al.,Gorse scrub (Ulex europaeus),36,2.4,0.267,0.04755,2.4,0.16,0.0178,0.00317,0.741666667,1.98125,15,NA,NA,NA
Xu et al.,Native scrub,588,23.4,7.854,0,39.2,1.56,0.5236,0,1.335714286,0,25.12820513,NA,NA,NA
Xu et al.,scrub,586.5,26.25,11.649,0,39.1,1.75,0.7766,0,1.986189258,0,22.34285714,NA,NA,NA
Xu et al.,0,0,27.45,0,0.46845,0,1.83,0,0.03123,NA,1.706557377,0,NA,NA,NA
Xu et al.,0,0,24.9,0,0.17475,0,1.66,0,0.01165,NA,0.701807229,0,NA,NA,NA
